metric,comparison,p_value,significant
Cycle Time CV,Q1 x Q2,0.0010414627102150462,True
Cycle Time CV,Q1 x Q3,1.7027848297338097e-12,True
Cycle Time CV,Q1 x Q4,9.39168772662812e-25,True
Cycle Time CV,Q2 x Q3,0.0006031229303244995,True
Cycle Time CV,Q2 x Q4,3.402521843280441e-11,True
Cycle Time CV,Q3 x Q4,0.0017222179614861909,True
Throughput CV,Q1 x Q2,0.07647004232833823,False
Throughput CV,Q1 x Q3,2.129175948428989e-07,True
Throughput CV,Q1 x Q4,5.187264805880999e-05,True
Throughput CV,Q2 x Q3,0.0035747728788662466,True
Throughput CV,Q2 x Q4,0.07647004232833823,False
Throughput CV,Q3 x Q4,0.2706399294858114,False
Release Interval CV,Q1 x Q2,0.7248014579433533,False
Release Interval CV,Q1 x Q3,0.055529805999627944,False
Release Interval CV,Q1 x Q4,0.0005835475715727469,True
Release Interval CV,Q2 x Q3,0.11490404103913654,False
Release Interval CV,Q2 x Q4,0.002461066937931802,True
Release Interval CV,Q3 x Q4,0.3100969273093398,False
