query_label,repository_name,owner_login,full_name,url,description,topics,created_at,pushed_at,stars,forks,primary_language,issues_total,pull_requests_total,releases_total,contributors_count,rejection_reasons
stars_5001_7500,UnityURPToonLitShaderExample,ColinLeung-NiloCat,ColinLeung-NiloCat/UnityURPToonLitShaderExample,https://github.com/ColinLeung-NiloCat/UnityURPToonLitShaderExample,"A very simple toon lit shader example, for you to learn writing custom lit shader in Unity URP",outline | character | urp | shader | hlsl | toon | lit | unity,2020-03-15T17:58:10Z,2026-02-20T06:24:05Z,7500,1844,ShaderLab,17,2,0,1,contributors_count < 2
stars_5001_7500,Book3_Elements-of-Mathematics,Visualize-ML,Visualize-ML/Book3_Elements-of-Mathematics,https://github.com/Visualize-ML/Book3_Elements-of-Mathematics,Book_3_《数学要素》 |   鸢尾花书：从加减乘除到机器学习；上架；欢迎继续纠错，纠错多的同学还会有赠书！,data-science | linear-algebra | machine-learning | mathematics | matrix,2022-05-29T17:58:03Z,2025-12-10T18:51:38Z,7397,1325,Jupyter Notebook,176,7,0,1,contributors_count < 2
stars_5001_7500,blockchain,LiuBoyu,LiuBoyu/blockchain,https://github.com/LiuBoyu/blockchain,区块链 - 中文资源,blockchain,2017-08-23T17:27:14Z,2022-09-20T19:14:30Z,7381,1603,,12,3,0,1,contributors_count < 2
stars_5001_7500,leetcode_company_wise_questions,MysteryVaibhav,MysteryVaibhav/leetcode_company_wise_questions,https://github.com/MysteryVaibhav/leetcode_company_wise_questions,This is a repository containing the list of company wise questions available on leetcode premium,,2019-04-25T03:07:11Z,2022-03-11T15:19:37Z,7346,2625,,4,2,0,1,contributors_count < 2
stars_5001_7500,ComfyUI-Workflows-ZHO,ZHO-ZHO-ZHO,ZHO-ZHO-ZHO/ComfyUI-Workflows-ZHO,https://github.com/ZHO-ZHO-ZHO/ComfyUI-Workflows-ZHO,我的 ComfyUI 工作流合集 | My ComfyUI workflows collection,comfyui | stable-diffusion,2024-03-06T09:03:09Z,2024-12-20T04:28:45Z,7314,683,,11,1,0,1,contributors_count < 2
stars_5001_7500,awesome-shodan-queries,jakejarvis,jakejarvis/awesome-shodan-queries,https://github.com/jakejarvis/awesome-shodan-queries,"🔍 A collection of interesting, funny, and depressing search queries to plug into shodan.io 👩‍💻",shodan | infosec | pentesting | iot | internet-of-things | security | awesome | awesome-list | hacking | penetration-testing | shodan-dorks | dorks | network-infrastructure | security-tools | security-scanner | cloud,2019-04-25T18:05:10Z,2024-05-27T20:36:28Z,7288,1002,,9,10,0,1,contributors_count < 2
stars_5001_7500,ml-fastvlm,apple,apple/ml-fastvlm,https://github.com/apple/ml-fastvlm,"This repository contains the official implementation of ""FastVLM: Efficient Vision Encoding for Vision Language Models"" - CVPR 2025",,2025-05-01T22:56:43Z,2025-05-05T22:59:29Z,7283,549,Python,65,10,0,1,contributors_count < 2
stars_7501_10000,avbook,guyueyingmu,guyueyingmu/avbook,https://github.com/guyueyingmu/avbook,"AV 电影管理系统， avmoo , javbus , javlibrary 爬虫，线上 AV 影片图书馆，AV 磁力链接数据库，Japanese Adult Video Library,Adult Video Magnet Links - Japanese Adult Video Database",javbus | avmoo | javlibrary | spider | crawler | laravel | scraper | adult | magnet-link | magnet | database | adult-video | guzzlehttp,2017-02-19T05:09:55Z,2024-06-01T11:49:41Z,9933,2018,PHP,139,50,1,1,contributors_count < 2
stars_7501_10000,Book4_Power-of-Matrix,Visualize-ML,Visualize-ML/Book4_Power-of-Matrix,https://github.com/Visualize-ML/Book4_Power-of-Matrix,Book_4_《矩阵力量》 |   鸢尾花书：从加减乘除到机器学习；上架！,linear | linear-algebra | machine-learning | mathematics | matrix | matrix-factorization,2022-07-02T19:58:34Z,2025-12-10T18:52:02Z,9828,1507,Jupyter Notebook,177,4,0,1,contributors_count < 2
stars_7501_10000,MagicIndicator,hackware1993,hackware1993/MagicIndicator,https://github.com/hackware1993/MagicIndicator,"A powerful, customizable and extensible ViewPager indicator framework. As the best alternative of ViewPagerIndicator, TabLayout and PagerSlidingTabStrip   ——   强大、可定制、易扩展的 ViewPager 指示器框架。是ViewPagerIndicator、TabLayout、PagerSlidingTabStrip的最佳替代品。支持角标，更支持在非ViewPager场景下使用（使用hide()、show()切换Fragment或使用setVisibility切换FrameLayout里的View等），http://www.jianshu.com/p/f3022211821c",viewpager | indicator | tablayout | viewpagerindicator | pagerslidingtabstrip,2016-06-26T08:20:43Z,2024-12-07T07:46:58Z,9812,1553,Java,288,13,12,1,contributors_count < 2
stars_7501_10000,PyWxDump,xaoyaoo,xaoyaoo/PyWxDump,https://github.com/xaoyaoo/PyWxDump,删库,wxdump | pywxdump | wxexport,2023-08-21T14:54:18Z,2025-10-20T10:36:39Z,9739,1687,,265,20,0,1,contributors_count < 2
stars_7501_10000,awesome-architecture,toutiaoio,toutiaoio/awesome-architecture,https://github.com/toutiaoio/awesome-architecture,架构师技术图谱，助你早日成为架构师,architecture,2019-07-25T02:06:59Z,2021-01-06T01:10:26Z,9633,1644,,11,1,0,1,contributors_count < 2
stars_5001_7500,Android-Expert,ArisGuimera,ArisGuimera/Android-Expert,https://github.com/ArisGuimera/Android-Expert,Aprende a PROGRAMAR aplicaciones ANDROID en KOTLIN sin conocimientos previos ,android | curso | curso-android | kotlin | kotlin-android,2022-12-01T09:35:15Z,2023-07-27T13:48:31Z,7255,157,Kotlin,3,0,0,1,contributors_count < 2
stars_5001_7500,CF-Workers-SUB,cmliu,cmliu/CF-Workers-SUB,https://github.com/cmliu/CF-Workers-SUB,这个是一个通过 Cloudflare Workers 搭建，将你任意节点与多个订阅汇聚成专属于你的订阅链接,,2024-02-23T08:37:35Z,2025-09-09T22:41:49Z,7166,8997,JavaScript,75,63,0,1,contributors_count < 2
stars_5001_7500,pinokio,pinokiocomputer,pinokiocomputer/pinokio,https://github.com/pinokiocomputer/pinokio,AI Browser,,2023-07-09T10:02:41Z,2026-03-25T17:17:25Z,7103,709,JavaScript,466,10,285,1,contributors_count < 2
stars_5001_7500,Knightbot-MD,mruniquehacker,mruniquehacker/Knightbot-MD,https://github.com/mruniquehacker/Knightbot-MD,A simple WhatsApp bot to manage groups,github-whatsapp-bot | knight | knight-bot | knight-bot-md | knightbot | knightbot-whatsapp-bot | whatsapp | whatsapp-bot | whatsapp-bot-md | whatsapp-bot-multi-device,2025-01-28T07:02:03Z,2026-02-18T07:39:31Z,7100,17715,JavaScript,97,255,0,1,contributors_count < 2
stars_7501_10000,Bob,ripperhe,ripperhe/Bob,https://github.com/ripperhe/Bob,Bob 是一款 macOS 平台的翻译和 OCR 软件。,bobapp | macos | ocr | translate | chatgpt | openai | translation | translator | deepseek | doubao | ernie | gemini | groq | hunyuan | kimi | qwen | zhipuai,2019-10-19T13:28:07Z,2025-12-30T13:26:12Z,9595,522,,528,13,1,1,contributors_count < 2
stars_7501_10000,macfuse,macfuse,macfuse/macfuse,https://github.com/macfuse/macfuse,macFUSE umbrella repository,macfuse,2011-06-08T19:59:24Z,2025-12-23T21:33:33Z,9564,540,,1121,18,98,1,contributors_count < 2
stars_7501_10000,awesome-nanobanana-pro,ZeroLu,ZeroLu/awesome-nanobanana-pro,https://github.com/ZeroLu/awesome-nanobanana-pro,🚀 An awesome list of curated Nano Banana pro prompts and examples. Your go-to resource for mastering prompt engineering and exploring the creative potential of the Nano banana pro(Nano banana 2) AI image model.,gemini | nanobanana | prompt-engineering | prompt-guide | prompts | nanobanana2 | nanobanana-pro | nanobananapro,2025-11-10T13:51:03Z,2026-03-20T07:11:22Z,9543,801,,9,1,0,1,contributors_count < 2
stars_7501_10000,yolov9,WongKinYiu,WongKinYiu/yolov9,https://github.com/WongKinYiu/yolov9,Implementation of paper - YOLOv9: Learning What You Want to Learn Using Programmable Gradient Information,yolov9,2024-02-18T10:09:29Z,2024-08-09T13:48:20Z,9501,1616,Python,580,78,1,1,contributors_count < 2
stars_7501_10000,awesome-github-wechat-weapp,opendigg,opendigg/awesome-github-wechat-weapp,https://github.com/opendigg/awesome-github-wechat-weapp,微信小程序开源项目库汇总,,2017-01-10T15:11:14Z,2020-08-16T11:36:42Z,9418,1875,,7,11,0,1,contributors_count < 2
stars_7501_10000,vue-admin,vue-bulma,vue-bulma/vue-admin,https://github.com/vue-bulma/vue-admin,"We are refactoring it, using the latest Vue and Bulma. WIP",,2016-06-03T02:15:58Z,2020-04-06T12:06:14Z,9357,1589,,217,48,0,1,contributors_count < 2
stars_7501_10000,openbrowser,ntegrals,ntegrals/openbrowser,https://github.com/ntegrals/openbrowser,Let AI agents browse the web. An autonomous toolkit for browser-based AI agents.,ai-agents | automation | claude | playwright | puppeteer | sandbox,2019-04-11T15:59:04Z,2026-03-01T04:24:53Z,9321,857,TypeScript,0,13,0,1,contributors_count < 2
stars_7501_10000,TensorFlow-Tutorials,Hvass-Labs,Hvass-Labs/TensorFlow-Tutorials,https://github.com/Hvass-Labs/TensorFlow-Tutorials,TensorFlow Tutorials with YouTube Videos,tensorflow | deep-learning | machine-learning | reinforcement-learning | python-notebook | tutorial | neural-network | youtube,2016-06-26T14:43:21Z,2021-01-15T20:20:02Z,9274,4122,Jupyter Notebook,110,18,0,1,contributors_count < 2
